countrycode,countryname,income_level
LIE,Liechtenstein,High Income
LKA,Sri Lanka,Lower Middle Income
LSO,Lesotho,Lower Middle Income
LTU,Lithuania,High Income
LUX,Luxembourg,High Income
LVA,Latvia,High Income
MAC,"Macao SAR, China",High Income
MAF,St. Martin (French part),High Income
MAR,Morocco,Lower Middle Income
MCO,Monaco,High Income
MDA,Moldova,Lower Middle Income
MDG,Madagascar,Low Income
MDV,Maldives,Upper Middle Income
MEX,Mexico,Upper Middle Income
MHL,Marshall Islands,Upper Middle Income
MKD,North Macedonia,Upper Middle Income
MLI,Mali,Low Income
MLT,Malta,High Income
MMR,Myanmar,Lower Middle Income
MNE,Montenegro,Upper Middle Income
MNG,Mongolia,Lower Middle Income
MNP,Northern Mariana Islands,High Income
MOZ,Mozambique,Low Income
MRT,Mauritania,Lower Middle Income
MUS,Mauritius,High Income
MWI,Malawi,Low Income
MYS,Malaysia,Upper Middle Income
NAM,Namibia,Upper Middle Income
NCL,New Caledonia,High Income
NER,Niger,Low Income
NGA,Nigeria,Lower Middle Income
NIC,Nicaragua,Lower Middle Income
NLD,Netherlands,High Income
NOR,Norway,High Income
NPL,Nepal,Lower Middle Income
NRU,Nauru,High Income
NZL,New Zealand,High Income
OMN,Oman,High Income
PAK,Pakistan,Lower Middle Income
PAN,Panama,High Income
PER,Peru,Upper Middle Income
PHL,Philippines,Lower Middle Income
PLW,Palau,High Income
PNG,Papua New Guinea,Lower Middle Income
POL,Poland,High Income
PRI,Puerto Rico,High Income
PRK,"Korea, Dem. People's Rep.",Low Income
PRT,Portugal,High Income
PRY,Paraguay,Upper Middle Income
PSE,West Bank and Gaza,Lower Middle Income
PYF,French Polynesia,High Income
QAT,Qatar,High Income
ROU,Romania,High Income
RUS,Russian Federation,Upper Middle Income
RWA,Rwanda,Low Income
SAU,Saudi Arabia,High Income
SDN,Sudan,Low Income
SEN,Senegal,Lower Middle Income
SGP,Singapore,High Income
SLB,Solomon Islands,Lower Middle Income
SLE,Sierra Leone,Low Income
SLV,El Salvador,Lower Middle Income
SMR,San Marino,High Income
SOM,Somalia,Low Income
SRB,Serbia,Upper Middle Income
SSD,South Sudan,Low Income
STP,Sao Tome and Principe,Lower Middle Income
SUR,Suriname,Upper Middle Income
SVK,Slovak Republic,High Income
SVN,Slovenia,High Income
SWE,Sweden,High Income
SWZ,Eswatini,Lower Middle Income
SXM,Sint Maarten (Dutch part),High Income
SYC,Seychelles,High Income
SYR,Syrian Arab Republic,Low Income
TCA,Turks and Caicos Islands,High Income
TCD,Chad,Low Income
TGO,Togo,Low Income
THA,Thailand,Upper Middle Income
TJK,Tajikistan,Low Income
TKM,Turkmenistan,Upper Middle Income
TLS,Timor-Leste,Lower Middle Income
TON,Tonga,Upper Middle Income
TTO,Trinidad and Tobago,High Income
TUN,Tunisia,Lower Middle Income
TUR,Turkey,Upper Middle Income
TUV,Tuvalu,Upper Middle Income
TWN,"Taiwan, China",High Income
TZA,Tanzania,Lower Middle Income
UGA,Uganda,Low Income
UKR,Ukraine,Lower Middle Income
URY,Uruguay,High Income
USA,United States,High Income
UZB,Uzbekistan,Lower Middle Income
VCT,St. Vincent and the Grenadines,Upper Middle Income
VEN,"Venezuela, RB",Upper Middle Income
VGB,British Virgin Islands,High Income
VIR,Virgin Islands (U.S.),High Income
VNM,Vietnam,Lower Middle Income
VUT,Vanuatu,Lower Middle Income
WSM,Samoa,Upper Middle Income
XKX,Kosovo,Upper Middle Income
YEM,"Yemen, Rep.",Low Income
ZAF,South Africa,Upper Middle Income
ZMB,Zambia,Lower Middle Income
ZWE,Zimbabwe,Lower Middle Income
